KV,mAs
40,1.0
41,1.142035879432481
42,1.3
43,1.475337550398446
44,1.669493719323707
45,1.8839406674720076
46,2.1202964411326084
47,2.3802390397479205
48,2.6655605551554404
49,2.978123393175779
50,3.319883830347534
51,3.6929255135801666
52,4.099377839929481
53,4.54154069292047
54,5.021766638510907
55,5.542527415335853
56,6.106451130717173
57,6.7161963513833305
58,7.374615512917622
59,8.084670583540735
60,8.849369315040247
61,9.671959084241966
62,10.55576749307943
63,11.504180106967832
64,12.520854208091334
65,13.609526707635087
66,14.773980615248202
67,16.01829505688355
68,17.346666266700723
69,18.76330811598782
70,20.272708531345387
71,21.87957407046008
72,23.588617815878454
73,25.40470413219243
74,27.33306919736706
75,29.379005279944582
76,31.547825165581955
77,33.84518257630317
78,36.277012206787106
79,38.84925713523653
80,41.56792347898636
81,44.439479182678845
82,47.47059760088229
83,50.667953023646724
84,54.0383015672879
85,57.58892729225555
86,61.32732385272335
87,65.26098543296834
88,69.39745577640448
89,73.74481801069203
90,78.3114865662871
91,83.10588069183967
92,88.13642518901783
93,93.411914447211
94,98.94173769321415
95,104.7353379802655
96,110.80215836160338
97,117.15172150296644
98,123.79427822334989
99,130.74046973959523
100,138.00094098657996
101,145.58633689918145
102,153.50745507646192
103,161.77586542290027
104,170.403381490733
105,179.4018169246599
106,188.78298536938118
107,198.55891203768368
108,208.74288424494122
109,219.34865535250813
110,230.38997946402037
111,241.88061068311396
112,253.83430311342482
113,266.2648108585887
114,279.18588802224167
115,292.61128870801963
116,306.55476701955854
117,321.0300770604943
118,336.05097293446283
119,351.63120874510014
120,367.78453859604207
