keV,mu,Coh,Incoh,PE
5,18.4899,NA,NA,NA
6,15.26312,NA,NA,NA
7,12.03634,NA,NA,NA
8,8.80956,NA,NA,NA
9,5.58278,NA,NA,NA
10,2.356,NA,NA,NA
11,2.0473,NA,NA,NA
12,1.7386,NA,NA,NA
13,1.4299,NA,NA,NA
14,1.1212,NA,NA,NA
15,0.8125,NA,NA,NA
16,0.73998,NA,NA,NA
17,0.66746,NA,NA,NA
18,0.59494,NA,NA,NA
19,0.52242,NA,NA,NA
20,0.4499,NA,NA,NA
21,0.43084,NA,NA,NA
22,0.41178,NA,NA,NA
23,0.39272,NA,NA,NA
24,0.37366,NA,NA,NA
25,0.3546,NA,NA,NA
26,0.33624,NA,NA,NA
27,0.31788,NA,NA,NA
28,0.29952,NA,NA,NA
29,0.28116,NA,NA,NA
30,0.2628,NA,NA,NA
31,0.25782,NA,NA,NA
32,0.25284,NA,NA,NA
33,0.24786,NA,NA,NA
34,0.24288,NA,NA,NA
35,0.2379,NA,NA,NA
36,0.23302,NA,NA,NA
37,0.22814,NA,NA,NA
38,0.22326,NA,NA,NA
39,0.21838,NA,NA,NA
40,0.2135,NA,NA,NA
41,0.2112,NA,NA,NA
42,0.2089,NA,NA,NA
43,0.2066,NA,NA,NA
44,0.2043,NA,NA,NA
45,0.202,NA,NA,NA
46,0.20016,NA,NA,NA
47,0.19832,NA,NA,NA
48,0.19648,NA,NA,NA
49,0.19464,NA,NA,NA
50,0.1928,NA,NA,NA
51,0.19146,NA,NA,NA
52,0.19012,NA,NA,NA
53,0.18878,NA,NA,NA
54,0.18744,NA,NA,NA
55,0.1861,NA,NA,NA
56,0.18496,NA,NA,NA
57,0.18382,NA,NA,NA
58,0.18268,NA,NA,NA
59,0.18154,NA,NA,NA
60,0.1804,NA,NA,NA
61,0.17954,NA,NA,NA
62,0.17868,NA,NA,NA
63,0.17782,NA,NA,NA
64,0.17696,NA,NA,NA
65,0.1761,NA,NA,NA
66,0.17542,NA,NA,NA
67,0.17474,NA,NA,NA
68,0.17406,NA,NA,NA
69,0.17338,NA,NA,NA
70,0.1727,NA,NA,NA
71,0.17196,NA,NA,NA
72,0.17122,NA,NA,NA
73,0.17048,NA,NA,NA
74,0.16974,NA,NA,NA
75,0.169,NA,NA,NA
76,0.16832,NA,NA,NA
77,0.16764,NA,NA,NA
78,0.16696,NA,NA,NA
79,0.16628,NA,NA,NA
80,0.1656,NA,NA,NA
81,0.16508,NA,NA,NA
82,0.16456,NA,NA,NA
83,0.16404,NA,NA,NA
84,0.16352,NA,NA,NA
85,0.163,NA,NA,NA
86,0.16246,NA,NA,NA
87,0.16192,NA,NA,NA
88,0.16138,NA,NA,NA
89,0.16084,NA,NA,NA
90,0.1603,NA,NA,NA
91,0.15984,NA,NA,NA
92,0.15938,NA,NA,NA
93,0.15892,NA,NA,NA
94,0.15846,NA,NA,NA
95,0.158,NA,NA,NA
96,0.15756,NA,NA,NA
97,0.15712,NA,NA,NA
98,0.15668,NA,NA,NA
99,0.15624,NA,NA,NA
100,0.1558,NA,NA,NA
101,0.15538,NA,NA,NA
102,0.15496,NA,NA,NA
103,0.15454,NA,NA,NA
104,0.15412,NA,NA,NA
105,0.1537,NA,NA,NA
106,0.1533,NA,NA,NA
107,0.1529,NA,NA,NA
108,0.1525,NA,NA,NA
109,0.1521,NA,NA,NA
110,0.1517,NA,NA,NA
111,0.15134,NA,NA,NA
112,0.15098,NA,NA,NA
113,0.15062,NA,NA,NA
114,0.15026,NA,NA,NA
115,0.1499,NA,NA,NA
116,0.14954,NA,NA,NA
117,0.14918,NA,NA,NA
118,0.14882,NA,NA,NA
119,0.14846,NA,NA,NA
120,0.1481,NA,NA,NA
121,0.14774,NA,NA,NA
122,0.14738,NA,NA,NA
123,0.14702,NA,NA,NA
124,0.14666,NA,NA,NA
125,0.1463,NA,NA,NA
126,0.14596,NA,NA,NA
127,0.14562,NA,NA,NA
128,0.14528,NA,NA,NA
129,0.14494,NA,NA,NA
130,0.1446,NA,NA,NA
131,0.1443,NA,NA,NA
132,0.144,NA,NA,NA
133,0.1437,NA,NA,NA
134,0.1434,NA,NA,NA
135,0.1431,NA,NA,NA
136,0.1428,NA,NA,NA
137,0.1425,NA,NA,NA
138,0.1422,NA,NA,NA
139,0.1419,NA,NA,NA
140,0.1416,NA,NA,NA
141,0.1413,NA,NA,NA
142,0.141,NA,NA,NA
143,0.1407,NA,NA,NA
144,0.1404,NA,NA,NA
145,0.1401,NA,NA,NA
146,0.1398,NA,NA,NA
147,0.1395,NA,NA,NA
148,0.1392,NA,NA,NA
149,0.1389,NA,NA,NA
150,0.1386,NA,NA,NA
